title;IGP-DI   Índice Geral de Preços
subtit;Variação sobre o mês anterior, em %
dfont;FGV
;
decimal;2
;
date_type;mm_yyyy
;
data;begin
x;y
01/1944;0.00000000000008371376
02/1944;0.00000000000008492700
03/1944;0.00000000000008614024
04/1944;0.00000000000008735348
05/1944;0.00000000000008856673
06/1944;0.00000000000008977997
07/1944;0.00000000000009099321
08/1944;0.00000000000009220646
09/1944;0.00000000000009341970
10/1944;0.00000000000009584618
11/1944;0.00000000000009827267
12/1944;0.00000000000009827267
01/1945;0.00000000000009948591
02/1945;0.0000000000001019124
03/1945;0.0000000000001006991
04/1945;0.0000000000001006991
05/1945;0.0000000000001019124
06/1945;0.0000000000001031256
07/1945;0.0000000000001043388
08/1945;0.0000000000001055521
09/1945;0.0000000000001055521
10/1945;0.0000000000001067653
11/1945;0.0000000000001079786
12/1945;0.0000000000001091918
01/1946;0.0000000000001104051
02/1946;0.0000000000001116183
03/1946;0.0000000000001128315
04/1946;0.0000000000001140448
05/1946;0.0000000000001152580
06/1946;0.0000000000001188978
07/1946;0.0000000000001213242
08/1946;0.0000000000001261772
09/1946;0.0000000000001298169
10/1946;0.0000000000001310302
11/1946;0.0000000000001322434
12/1946;0.0000000000001334567
01/1947;0.0000000000001383096
02/1947;0.0000000000001395229
03/1947;0.0000000000001407361
04/1947;0.0000000000001370964
05/1947;0.0000000000001358832
06/1947;0.0000000000001346699
07/1947;0.0000000000001322434
08/1947;0.0000000000001322434
09/1947;0.0000000000001334567
10/1947;0.0000000000001334567
11/1947;0.0000000000001346699
12/1947;0.0000000000001370964
01/1948;0.0000000000001407361
02/1948;0.0000000000001443759
03/1948;0.0000000000001468023
04/1948;0.0000000000001455891
05/1948;0.0000000000001443759
06/1948;0.0000000000001455891
07/1948;0.0000000000001443759
08/1948;0.0000000000001455891
09/1948;0.0000000000001455891
10/1948;0.0000000000001455891
11/1948;0.0000000000001468023
12/1948;0.0000000000001480156
01/1949;0.0000000000001504421
02/1949;0.0000000000001516553
03/1949;0.0000000000001516553
04/1949;0.0000000000001516553
05/1949;0.0000000000001516553
06/1949;0.0000000000001516553
07/1949;0.0000000000001528686
08/1949;0.0000000000001540818
09/1949;0.0000000000001552950
10/1949;0.0000000000001589348
11/1949;0.0000000000001662142
12/1949;0.0000000000001662142
01/1950;0.0000000000001686407
02/1950;0.0000000000001686407
03/1950;0.0000000000001650010
04/1950;0.0000000000001637877
05/1950;0.0000000000001650010
06/1950;0.0000000000001662142
07/1950;0.0000000000001698540
08/1950;0.0000000000001747069
09/1950;0.0000000000001795599
10/1950;0.0000000000001844129
11/1950;0.0000000000001844129
12/1950;0.0000000000001868394
01/1951;0.0000000000001929056
02/1951;0.0000000000001953321
03/1951;0.0000000000002001850
04/1951;0.0000000000002026115
05/1951;0.0000000000002050380
06/1951;0.0000000000002026115
07/1951;0.0000000000001977585
08/1951;0.0000000000002001850
09/1951;0.0000000000002013983
10/1951;0.0000000000002050380
11/1951;0.0000000000002062512
12/1951;0.0000000000002098910
01/1952;0.0000000000002171704
02/1952;0.0000000000002208102
03/1952;0.0000000000002208102
04/1952;0.0000000000002208102
05/1952;0.0000000000002220234
06/1952;0.0000000000002232366
07/1952;0.0000000000002268764
08/1952;0.0000000000002280896
09/1952;0.0000000000002268764
10/1952;0.0000000000002280896
11/1952;0.0000000000002341558
12/1952;0.0000000000002365823
01/1953;0.0000000000002390088
02/1953;0.0000000000002414353
03/1953;0.0000000000002475015
04/1953;0.0000000000002475015
05/1953;0.0000000000002462883
06/1953;0.0000000000002499280
07/1953;0.0000000000002547810
08/1953;0.0000000000002644869
09/1953;0.0000000000002681266
10/1953;0.0000000000002754061
11/1953;0.0000000000002790458
12/1953;0.0000000000002851120
01/1954;0.0000000000002934773
02/1954;0.0000000000003007416
03/1954;0.0000000000003065531
04/1954;0.0000000000003181759
05/1954;0.0000000000003239874
06/1954;0.0000000000003283459
07/1954;0.0000000000003327045
08/1954;0.0000000000003356102
09/1954;0.0000000000003443274
10/1954;0.0000000000003457802
11/1954;0.0000000000003530445
12/1954;0.0000000000003588560
01/1955;0.0000000000003646674
02/1955;0.0000000000003646674
03/1955;0.0000000000003675731
04/1955;0.0000000000003748374
05/1955;0.0000000000003748374
06/1955;0.0000000000003748374
07/1955;0.0000000000003791960
08/1955;0.0000000000003864603
09/1955;0.0000000000003951774
10/1955;0.0000000000003995360
11/1955;0.0000000000004009889
12/1955;0.0000000000004024417
01/1956;0.0000000000004097060
