IBOVESPA - 2020
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;70.966,70;;88.620,10;96.203,20;;102.167,65;95.478,52;;111.399,91
2;118.573,10;;106.625,41;72.253,46;;91.046,38;96.234,96;;101.911,13;94.015,68;;111.878,53
3;117.706,66;114.629,21;105.537,14;69.537,56;;93.002,14;96.764,85;102.829,96;100.721,36;;95.979,71;112.291,59
4;;115.556,71;107.224,22;;78.876,22;93.828,61;;101.215,87;101.241,73;;97.866,81;113.750,22
5;;116.028,27;102.233,24;;79.470,78;94.637,06;;102.801,76;;96.089,19;100.751,40;
6;116.877,92;115.189,97;97.996,77;74.072,98;79.063,68;;98.937,16;104.125,64;;95.615,03;100.925,11;
7;116.661,94;113.770,29;;76.358,09;78.118,57;;97.761,04;102.775,55;;95.526,26;;113.589,77
8;116.247,03;;;78.624,62;80.263,35;97.644,67;99.769,88;;100.050,43;97.919,73;;113.793,06
9;115.947,11;;86.067,20;77.681,94;;96.746,55;99.160,33;;101.292,05;97.483,31;103.515,16;113.001,16
10;115.503,42;112.570,30;92.214,47;;;94.685,98;100.031,83;103.444,48;98.834,59;;105.066,96;115.128,63
11;;115.370,61;85.171,13;;79.064,60;;;102.174,40;98.363,22;;104.808,83;115.128,00
12;;116.674,13;72.582,53;;77.871,95;92.795,27;;102.117,79;;;102.507,01;
13;117.325,28;115.662,40;82.677,91;78.835,82;77.772,20;;98.697,06;100.460,60;;98.502,82;104.723,00;
14;117.632,40;114.380,71;;79.918,36;79.010,81;;100.440,23;101.353,45;100.274,52;99.334,43;;114.611,12
15;116.414,35;;;78.831,46;77.556,62;92.375,52;101.790,54;;100.297,91;99.054,06;;116.148,63
16;116.704,21;;71.168,05;77.811,85;;93.531,17;100.553,27;;99.675,68;98.309,12;106.429,92;117.857,35
17;118.478,30;115.309,08;74.617,24;78.990,29;;95.547,29;102.888,25;99.595,41;100.097,83;;107.248,63;118.400,57
18;;114.977,29;66.894,95;;81.194,29;96.125,24;;102.065,35;98.289,71;;106.119,09;118.023,67
19;;116.517,59;68.331,80;;80.742,35;96.572,10;;100.853,72;;98.657,65;106.669,90;
20;118.861,63;114.586,24;67.069,36;78.972,76;81.319,45;;104.426,37;101.467,87;;100.539,83;106.042,48;
21;117.026,04;113.681,42;;;83.027,09;;104.309,74;101.521,29;96.990,72;100.552,44;;115.822,57
22;118.391,36;;;80.687,15;82.173,21;95.335,96;104.289,57;;97.293,54;101.917,73;;116.636,18
23;119.527,63;;63.569,62;79.673,30;;95.975,16;102.293,31;;95.734,82;101.259,75;107.378,92;117.806,85
24;118.376,36;;69.729,30;75.330,61;;94.377,36;102.381,58;102.297,95;97.012,07;;109.786,30;
25;;;74.955,57;;85.663,48;95.983,09;;102.117,64;96.999,38;;110.132,53;
26;;105.718,29;77.709,66;;85.468,91;93.834,49;;100.627,33;;101.016,96;110.227,09;
27;114.481,84;102.983,54;73.428,78;78.238,60;87.946,25;;104.477,08;100.623,64;;99.605,54;110.575,47;
28;116.478,98;104.171,57;;81.312,23;86.949,09;;104.109,07;102.142,93;94.666,37;95.368,76;;119.123,70
29;115.384,84;;;83.170,80;87.402,59;95.735,35;105.605,17;;93.580,35;96.582,16;;119.409,15
30;115.528,04;;74.639,48;80.505,89;;95.055,82;105.008,70;;94.603,38;93.952,40;108.893,32;119.017,24
31;113.760,57;;73.019,76;;;;102.912,24;99.369,15;;;;
MÍNIMO;113.760,57;102.983,54;63.569,62;69.537,56;77.556,62;88.620,10;96.203,20;99.369,15;93.580,35;93.952,40;95.979,71;111.399,91
MÍNIMO;119.527,63;116.674,13;107.224,22;83.170,80;87.946,25;97.644,67;105.605,17;104.125,64;102.167,65;101.917,73;110.575,47;119.409,15
